"x","y","year"
49.2479110040001,-11.9686174459999,2010
49.2979110040001,-11.9686174459999,2010
49.2479110040001,-12.0186174459999,2010
49.2979110040001,-12.0186174459999,2010
49.1479110040001,-12.0686174459999,2010
49.2479110040001,-12.0686174459999,2010
49.2979110040001,-12.0686174459999,2010
49.3479110040001,-12.0686174459999,2010
49.1979110040001,-12.1186174459999,2010
49.2479110040001,-12.1186174459999,2010
49.2979110040001,-12.1186174459999,2010
49.3479110040001,-12.1186174459999,2010
49.1979110040001,-12.1686174459999,2010
49.2979110040001,-12.1686174459999,2010
49.3479110040001,-12.1686174459999,2010
49.1979110040001,-12.2186174459999,2010
49.1479110040001,-12.2686174459999,2010
49.1979110040001,-12.2686174459999,2010
49.2479110040001,-12.2686174459999,2010
49.2979110040001,-12.2686174459999,2010
49.3979110040001,-12.2686174459999,2010
49.0479110040001,-12.3186174459999,2010
49.0979110040001,-12.3186174459999,2010
49.1479110040001,-12.3186174459999,2010
49.1979110040001,-12.3186174459999,2010
49.2479110040001,-12.3186174459999,2010
49.2979110040001,-12.3186174459999,2010
49.3479110040001,-12.3186174459999,2010
49.3979110040001,-12.3186174459999,2010
48.9979110040001,-12.3686174459999,2010
49.0479110040001,-12.3686174459999,2010
49.0979110040001,-12.3686174459999,2010
49.1479110040001,-12.3686174459999,2010
49.1979110040001,-12.3686174459999,2010
49.2479110040001,-12.3686174459999,2010
49.2979110040001,-12.3686174459999,2010
49.3479110040001,-12.3686174459999,2010
49.3979110040001,-12.3686174459999,2010
49.4479110040001,-12.3686174459999,2010
49.4979110040001,-12.3686174459999,2010
48.7479110040001,-12.4186174459999,2010
48.7979110040001,-12.4186174459999,2010
48.8479110040001,-12.4186174459999,2010
48.9979110040001,-12.4186174459999,2010
49.0479110040001,-12.4186174459999,2010
49.0979110040001,-12.4186174459999,2010
49.1479110040001,-12.4186174459999,2010
49.1979110040001,-12.4186174459999,2010
49.2479110040001,-12.4186174459999,2010
49.2979110040001,-12.4186174459999,2010
49.3479110040001,-12.4186174459999,2010
49.3979110040001,-12.4186174459999,2010
49.4479110040001,-12.4186174459999,2010
49.4979110040001,-12.4186174459999,2010
48.7979110040001,-12.4686174459999,2010
48.8479110040001,-12.4686174459999,2010
48.9979110040001,-12.4686174459999,2010
49.0479110040001,-12.4686174459999,2010
49.0979110040001,-12.4686174459999,2010
49.1479110040001,-12.4686174459999,2010
49.1979110040001,-12.4686174459999,2010
49.2479110040001,-12.4686174459999,2010
49.2979110040001,-12.4686174459999,2010
49.3479110040001,-12.4686174459999,2010
49.3979110040001,-12.4686174459999,2010
49.4479110040001,-12.4686174459999,2010
49.4979110040001,-12.4686174459999,2010
49.5479110040001,-12.4686174459999,2010
48.8479110040001,-12.5186174459999,2010
48.8979110040001,-12.5186174459999,2010
48.9479110040001,-12.5186174459999,2010
48.9979110040001,-12.5186174459999,2010
49.0479110040001,-12.5186174459999,2010
49.0979110040001,-12.5186174459999,2010
49.1479110040001,-12.5186174459999,2010
49.1979110040001,-12.5186174459999,2010
49.2479110040001,-12.5186174459999,2010
49.2979110040001,-12.5186174459999,2010
49.3479110040001,-12.5186174459999,2010
49.3979110040001,-12.5186174459999,2010
49.4479110040001,-12.5186174459999,2010
49.4979110040001,-12.5186174459999,2010
49.5479110040001,-12.5186174459999,2010
48.8979110040001,-12.5686174459999,2010
48.9479110040001,-12.5686174459999,2010
48.9979110040001,-12.5686174459999,2010
49.0479110040001,-12.5686174459999,2010
49.0979110040001,-12.5686174459999,2010
49.1479110040001,-12.5686174459999,2010
49.1979110040001,-12.5686174459999,2010
49.2479110040001,-12.5686174459999,2010
49.2979110040001,-12.5686174459999,2010
49.3479110040001,-12.5686174459999,2010
49.3979110040001,-12.5686174459999,2010
49.4479110040001,-12.5686174459999,2010
49.4979110040001,-12.5686174459999,2010
49.5479110040001,-12.5686174459999,2010
48.8979110040001,-12.6186174459999,2010
48.9479110040001,-12.6186174459999,2010
48.9979110040001,-12.6186174459999,2010
